,Awards,Awards_Nominated,Awards_Won,BAFTA Film Award Awards_Nominated,Golden Globe Awards_Nominated,Golden Globe Awards_Won,Oscar Awards_Nominated,Oscar Awards_Won,Primetime Emmy Awards_Nominated,Primetime Emmy Awards_Won,Title,Year
39,1 win & 8 nominations.,8,1,0,0,0,0,0,0,0,Slap Shot 2: Breaking the Ice,2002
43,2 nominations.,2,0,0,0,0,0,0,0,0,Van Wilder: Party Liaison,2002
47,6 wins & 1 nomination.,1,6,0,0,0,0,0,0,0,Black Box BRD,2001
50,Won 2 Golden Globes. Another 68 wins & 201 nominations.,201,68,0,0,2,0,0,0,0,24,2001–2010
51,Won 1 Golden Globe. Another 31 wins & 143 nominations.,143,31,0,0,1,0,0,0,0,Alias,2001–2006
53,Nominated for 4 Primetime Emmys. Another 16 nominations.,0,0,0,0,0,0,0,0,0,According to Jim,2001–2009
54,3 wins & 2 nominations.,2,3,0,0,0,0,0,0,0,The Education of Max Bickford,2001–2002
56,3 wins & 6 nominations.,6,3,0,0,0,0,0,0,0,A Padroeira,2001–2002
62,2 wins.,0,2,0,0,0,0,0,0,0,Poker,2001
69,6 wins & 4 nominations.,4,6,0,0,0,0,0,0,0,No Regrets,2001
72,7 wins & 6 nominations.,6,7,0,0,0,0,0,0,0,Swept Away,2002
76,9 wins & 30 nominations.,30,9,0,0,0,0,0,0,0,McLeod's Daughters,2001–
79,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,6,1,0,0,0,0,0,0,1,The Grim Adventures of Billy & Mandy,2001–2007
84,1 nomination.,1,0,0,0,0,0,0,0,0,The Big Time,2002
87,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,39,11,3,0,0,0,0,0,0,Harry Potter and the Chamber of Secrets,2002
88,6 nominations.,6,0,0,0,0,0,0,0,0,Sins of the Father,2002
90,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,Bachelors Walk,2001–2003
91,2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,I Spy,2002
94,14 wins & 11 nominations.,11,4,0,0,0,0,0,0,0,The Ring,2002
97,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,2DTV,2001–
102,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Black and White,2002
116,2 nominations.,2,0,0,0,0,0,0,0,0,Ana y los 7,2002–2005
117,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,Australians at War,2001–
118,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,14,2,0,1,0,0,0,0,0,American Family,2002–2004
121,2 wins.,0,2,0,0,0,0,0,0,0,The Ruby Princess Runs Away,2001
134,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,0,0,0,0,0,0,0,0,Andy Richter Controls the Universe,2002–2003
135,3 wins & 1 nomination.,1,3,0,0,0,0,0,0,0,Crime and Punishment,2002
138,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,2030 CE,2002–2003
139,1 nomination.,1,0,0,0,0,0,0,0,0,Ace Lightning,2002–
146,2 wins.,0,2,0,0,0,0,0,0,0,Chechen Lullaby,2001
150,1 nomination.,1,0,0,0,0,0,0,0,0,30 by 30: Kid Flicks,2001–
152,9 wins & 8 nominations.,8,9,0,0,0,0,0,0,0,The Bachelor,2002–
162,1 win.,0,1,0,0,0,0,0,0,0,A Very British Murder,2001–
164,1 win.,0,1,0,0,0,0,0,0,0,The Show Must Go On,2001
166,15 wins & 4 nominations.,4,5,0,0,0,0,0,0,0,Broken Wings,2002
167,1 win.,0,1,0,0,0,0,0,0,0,Salvation,2002
180,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Angelina Ballerina,2001–2009
181,3 wins & 6 nominations.,6,3,0,0,0,0,0,0,0,Any Time Now,2002–
184,8 wins & 8 nominations.,8,8,0,0,0,0,0,0,0,The Adventures of Jimmy Neutron: Boy Genius,2002–2006
185,2 nominations.,2,0,0,0,0,0,0,0,0,After Hours,2001–
190,1 nomination.,1,0,0,0,0,0,0,0,0,Adventure Inc.,2002–2003
191,1 win.,0,1,0,0,0,0,0,0,0,Anja,2001
211,1 nomination.,1,0,0,0,0,0,0,0,0,The Birthday,2001
212,2 wins.,0,2,0,0,0,0,0,0,0,9 Dead Gay Guys,2002
213,1 win & 3 nominations.,3,1,0,0,0,0,0,0,0,30 Minute Meals,2001–
215,1 win.,0,1,0,0,0,0,0,0,0,Santa vs. the Snowman 3D,2002
217,4 nominations.,4,0,0,0,0,0,0,0,0,Silent Night,2002
221,4 wins.,0,4,0,0,0,0,0,0,0,Memento Mori,2002
222,1 win.,0,1,0,0,0,0,0,0,0,The Wedding,2001
226,15 nominations.,5,0,0,0,0,0,0,0,0,A Pequena Travessa,2002–
230,2 wins.,0,2,0,0,0,0,0,0,0,Unprecedented: The 2000 Presidential Election,2002
240,2 wins.,0,2,0,0,0,0,0,0,0,Happy Birthday,2002
244,1 nomination.,1,0,0,0,0,0,0,0,0,15 Storeys High,2002–
256,1 nomination.,1,0,0,0,0,0,0,0,0,Annemie Hülchrath - Der Talk,2002–
288,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,Abschnitt 40,2001–
291,1 nomination.,1,0,0,0,0,0,0,0,0,Al rojo vivo con María Celeste,2002–
326,1 win.,0,1,0,0,0,0,0,0,0,Hannibal: The Man Who Hated Rome,2001
345,1 nomination.,1,0,0,0,0,0,0,0,0,A Guy and a Girl,2002–2004
356,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Promise Land,2002
365,1 nomination.,1,0,0,0,0,0,0,0,0,Ask Anna,2002–2003
374,1 win.,0,1,0,0,0,0,0,0,0,A Jóia de África,2002–
402,2 wins.,0,2,0,0,0,0,0,0,0,La fotografia,2002
410,4 wins & 9 nominations.,9,4,0,0,0,0,0,0,0,Under Suspicion,2002–
449,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,75th Annual Macy's Thanksgiving Day Parade,2001
515,1 win.,0,1,0,0,0,0,0,0,0,A Kalahari Family,2001
545,Won 11 Oscars. Another 174 wins & 113 nominations.,113,174,0,0,0,0,11,0,0,The Lord of the Rings: The Return of the King,2003
547,4 wins & 11 nominations.,11,4,0,0,0,0,0,0,0,The Fighting Temptations,2003
552,3 wins & 4 nominations.,4,3,0,0,0,0,0,0,0,Once Upon a Time in Mexico,2003
553,1 win & 5 nominations.,5,1,0,0,0,0,0,0,0,Fear X,2003
556,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,Scary Movie 3,2003
560,1 nomination.,1,0,0,0,0,0,0,0,0,Imagining Argentina,2003
561,Won 1 Oscar. Another 11 wins & 14 nominations.,14,11,0,0,0,0,1,0,0,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003
563,Won 3 Primetime Emmys. Another 44 nominations.,0,0,0,0,0,0,0,0,0,Jimmy Kimmel Live!,2003–
564,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Dickie Roberts: Former Child Star,2003
567,2 nominations.,2,0,0,0,0,0,0,0,0,Around the World in 80 Days,2004
568,1 win.,0,1,0,0,0,0,0,0,0,The Kiss,2003
571,Nominated for 7 Oscars. Another 6 wins & 36 nominations.,36,6,0,0,0,7,0,0,0,Seabiscuit,2003
573,1 win & 6 nominations.,6,1,0,0,0,0,0,0,0,Saved!,2004
575,1 nomination.,1,0,0,0,0,0,0,0,0,A Hole in One,2004
576,1 nomination.,1,0,0,0,0,0,0,0,0,Alienated,2003–2004
582,2 wins.,0,2,0,0,0,0,0,0,0,You're My Hero,2003
584,2 wins & 7 nominations.,7,2,0,0,0,0,0,0,0,The Door in the Floor,2004
585,14 wins & 22 nominations.,22,4,0,0,0,0,0,0,0,A Casa das Sete Mulheres,2003
591,1 nomination.,1,0,0,0,0,0,0,0,0,Fighter Pilot: Operation Red Flag,2004
594,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Cold Turkey,2003
597,1 nomination.,1,0,0,0,0,0,0,0,0,Nashville Star,2003–2008
601,12 nominations.,2,0,0,0,0,0,0,0,0,All of Us,2003–2007
604,5 wins & 34 nominations.,34,5,0,0,0,0,0,0,0,America's Next Top Model,2003–
605,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,2,1,0,0,0,0,0,1,0,10.5,2004
615,9 nominations.,9,0,0,0,0,0,0,0,0,After the Game,2003–
620,8 nominations.,8,0,0,0,0,0,0,0,0,Agora É Que São Elas,2003–
621,2 nominations.,2,0,0,0,0,0,0,0,0,All About the Andersons,2003–2004
623,1 nomination.,1,0,0,0,0,0,0,0,0,The Brotherhood of Poland; New Hampshire,2003–
624,2 nominations.,2,0,0,0,0,0,0,0,0,The Hollow,2004
625,1 win.,0,1,0,0,0,0,0,0,0,A Miami Tail,2003
626,3 wins.,0,3,0,0,0,0,0,0,0,Secret Santa,2003
631,1 nomination.,1,0,0,0,0,0,0,0,0,The Other Woman,2004
634,1 win & 5 nominations.,5,1,0,0,0,0,0,0,0,1-800-Missing,2003–2006
637,2 nominations.,2,0,0,0,0,0,0,0,0,16,2003–
638,10 wins & 22 nominations.,22,0,0,0,0,0,0,0,0,Napoleon Dynamite,2004
642,1 nomination.,1,0,0,0,0,0,0,0,0,The Ghost Club,2003
643,Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,72,21,0,2,0,0,0,0,0,Kill Bill: Vol. 2,2004
655,1 nomination.,1,0,0,0,0,0,0,0,0,7 días; 7 noches,2003–2011
657,2 wins & 3 nominations.,3,2,0,0,0,0,0,0,0,The Basque Ball: Skin Against Stone,2003
660,1 win.,0,1,0,0,0,0,0,0,0,The Letter: An American Town and the 'Somali Invasion',2003
662,1 win.,0,1,0,0,0,0,0,0,0,When I Grow Up; I'll Be a Kangaroo,2004
667,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Alt und durchgeknallt,2003–
668,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,Aquí hay tomate,2003–2008
669,1 win.,0,1,0,0,0,0,0,0,0,The Dr. Jekyll & Mr. Hyde Rock 'n Roll Musical,2003
670,2 wins & 10 nominations.,10,2,0,0,0,0,0,0,0,Wolf,2004
676,1 nomination.,1,0,0,0,0,0,0,0,0,5ive Days to Midnight,2004
680,1 nomination.,1,0,0,0,0,0,0,0,0,Curse of the Ring,2004
681,8 wins & 10 nominations.,10,8,0,0,0,0,0,0,0,Saw,2004
683,2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,All Grown Up!,2003–2008
690,2 wins & 8 nominations.,8,2,0,0,0,0,0,0,0,Clean,2004
692,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,The Mystery of Natalie Wood,2004
693,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Once Upon a Time in High School: The Spirit of Jeet Kune Do,2004
697,1 nomination.,1,0,0,0,0,0,0,0,0,Airline,2004–2005
699,6 wins & 2 nominations.,2,6,0,0,0,0,0,0,0,Glauber o Filme; Labirinto do Brasil,2003
708,1 nomination.,1,0,0,0,0,0,0,0,0,55 Degrees North,2004–2005
709,1 nomination.,1,0,0,0,0,0,0,0,0,JoJo's Circus,2003–
710,3 nominations.,3,0,0,0,0,0,0,0,0,3 Non-Blondes,2003–
714,14 wins & 17 nominations.,17,4,0,0,0,0,0,0,0,The Consequences of Love,2004
716,3 wins & 7 nominations.,7,3,0,0,0,0,0,0,0,Allá tú,2004–
717,2 nominations.,2,0,0,0,0,0,0,0,0,Meltdown,2004
740,1 nomination.,1,0,0,0,0,0,0,0,0,Major League Baseball 2005,2004
764,5 wins & 2 nominations.,2,5,0,0,0,0,0,0,0,In the Darkness of the Night,2004
765,1 win.,0,1,0,0,0,0,0,0,0,Adoption Stories,2003–2004
776,1 win.,0,1,0,0,0,0,0,0,0,Alarm für Cobra 11 - Einsatz für Team 2,2003–
782,1 nomination.,1,0,0,0,0,0,0,0,0,Lucky Jack: Three Attempts to Stop Smoking,2003
783,1 nomination.,1,0,0,0,0,0,0,0,0,Scooby-Doo and the Loch Ness Monster,2004
794,13 wins & 7 nominations.,7,3,0,0,0,0,0,0,0,The Wedding,2004
810,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Afers exteriors,2003–
816,1 win.,0,1,0,0,0,0,0,0,0,Mothers; Fathers; and Other Strangers,2004
829,1 nomination.,1,0,0,0,0,0,0,0,0,Anal Surprise Party,2004
835,3 nominations.,3,0,0,0,0,0,0,0,0,Eye of the Beholder,2004
837,3 nominations.,3,0,0,0,0,0,0,0,0,Tails from the Toilet,2004
840,2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,59 segundos,2004–2012
846,2 wins.,0,2,0,0,0,0,0,0,0,Love Hurts,2004–
867,1 nomination.,1,0,0,0,0,0,0,0,0,Close Encounters with Keith Barry,2003–
868,1 win.,0,1,0,0,0,0,0,0,0,Muttertag,2004
871,2 nominations.,2,0,0,0,0,0,0,0,0,Star Wars: Knights of the Old Republic II - The Sith Lords,2004
874,1 win & 15 nominations.,15,1,0,0,0,0,0,0,0,A Escrava Isaura,2004–2005
877,1 win & 6 nominations.,6,1,0,0,0,0,0,0,0,The Uninvited Guest,2004
891,1 win & 5 nominations.,5,1,0,0,0,0,0,0,0,6Teen,2004–2010
892,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,969,2004–
896,1 nomination.,1,0,0,0,0,0,0,0,0,Sex Across America: The Tenth Stop Aspen,2004
899,5 nominations.,5,0,0,0,0,0,0,0,0,Akai tsuki,2004
914,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,Sex Ed,2003
915,6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,A Diarista,2003–2007
916,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,American Latino TV,2004–
924,1 win.,0,1,0,0,0,0,0,0,0,Cape Cod,2003
934,1 nomination.,1,0,0,0,0,0,0,0,0,Avenzio - Schöner leben!,2003–
947,1 win.,0,1,0,0,0,0,0,0,0,The Shining in 30 Seconds (and Re-enacted by Bunnies),2004
983,1 nomination.,1,0,0,0,0,0,0,0,0,Gold,2004
990,4 nominations.,4,0,0,0,0,0,0,0,0,24 oras,2004–
992,1 nomination.,1,0,0,0,0,0,0,0,0,The Brother,2004
1000,1 nomination.,1,0,0,0,0,0,0,0,0,Love Is in the Air,2004
1027,1 nomination.,1,0,0,0,0,0,0,0,0,Alles muss raus,2004–2007
1030,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,About Us,2003–
1040,1 win.,0,1,0,0,0,0,0,0,0,About Us,2004–
1071,1 nomination.,1,0,0,0,0,0,0,0,0,Who Kidnapped Shergar,2004
1115,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,Agatha Christie's Marple,2004–
1180,1 win.,0,1,0,0,0,0,0,0,0,Missy Elliott: Pass That Dutch,2003
1201,Nominated for 1 Oscar. Another 25 wins & 51 nominations.,51,25,0,0,0,1,0,0,0,Star Wars: Episode III - Revenge of the Sith,2005
1202,1 nomination.,1,0,0,0,0,0,0,0,0,Bob the Butler,2005
1204,8 wins & 20 nominations.,20,8,0,0,0,0,0,0,0,Até Amanhã; Camaradas,2005
1205,2 nominations.,2,0,0,0,0,0,0,0,0,Cursed,2005
1207,4 nominations.,4,0,0,0,0,0,0,0,0,Hostage,2005
1208,5 wins & 12 nominations.,12,5,0,0,0,0,0,0,0,The Upside of Anger,2005
1209,3 wins.,0,3,0,0,0,0,0,0,0,Echoes of Innocence,2005
1212,1 win & 6 nominations.,6,1,0,0,0,0,0,0,0,Goal! The Dream Begins,2005
1213,7 wins & 5 nominations.,5,7,0,0,0,0,0,0,0,Accused,2005
1214,4 nominations.,4,0,0,0,0,0,0,0,0,Waqt: The Race Against Time,2005
1217,2 nominations.,2,0,0,0,0,0,0,0,0,The Ice Harvest,2005
1219,2 wins & 6 nominations.,6,2,0,0,0,0,0,0,0,Underworld: Evolution,2006
1220,1 win & 14 nominations.,14,1,0,0,0,0,0,0,0,The Sisterhood of the Traveling Pants,2005
1221,Nominated for 3 Oscars. Another 13 wins & 40 nominations.,40,13,0,0,0,3,0,0,0,War of the Worlds,2005
1230,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Blind Man's Bluff,2005
1231,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,A Place of Our Own: Los Niños en Su Casa,2005–
1233,1 win & 9 nominations.,9,1,0,0,0,0,0,0,0,Miami Vice,2006
1234,8 wins & 6 nominations.,6,8,0,0,0,0,0,0,0,Basic Instinct 2,2006
1235,1 nomination.,1,0,0,0,0,0,0,0,0,Kidnapped,2005
1238,8 wins & 17 nominations.,17,8,0,0,0,0,0,0,0,The Descent,2005
1239,4 wins & 1 nomination.,1,4,0,0,0,0,0,0,0,Afterlife,2005–
1240,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Mardi Gras: Made in China,2005
1241,4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0,30 Days,2005–2008
1242,5 wins.,0,5,0,0,0,0,0,0,0,The Real Dirt on Farmer John,2005
1243,27 wins & 31 nominations.,31,7,0,0,0,0,0,0,0,Aída,2005–2014
1244,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,Man Exposed,2006
1245,1 nomination.,1,0,0,0,0,0,0,0,0,Solo,2005
1246,3 wins.,0,3,0,0,0,0,0,0,0,Encantadia,2005–
1257,4 wins.,0,4,0,0,0,0,0,0,0,Help,2005–
1261,4 nominations.,4,0,0,0,0,0,0,0,0,Ot 180 i vyshe,2005
1266,5 wins.,0,5,0,0,0,0,0,0,0,Babs Johnson and the Cavalcade of Perversion: An Exploration in Exploitation,2005
1267,2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,The Break-Up,2006
1268,3 wins.,0,3,0,0,0,0,0,0,0,Before the Flood,2005
1269,1 nomination.,1,0,0,0,0,0,0,0,0,Black Christmas,2006
1272,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Lost and Found,2005
1274,Nominated for 1 Oscar. Another 11 wins & 24 nominations.,24,11,0,0,0,1,0,0,0,The Pursuit of Happyness,2006
1275,1 win.,0,1,0,0,0,0,0,0,0,Exit,2005
1279,3 nominations.,3,0,0,0,0,0,0,0,0,Abuela de verano,2005
1299,1 nomination.,1,0,0,0,0,0,0,0,0,10.5: Apocalypse,2006
1300,1 nomination.,1,0,0,0,0,0,0,0,0,The Cutting Edge: Going for the Gold,2006
1301,21 nominations.,1,0,0,0,0,0,0,0,0,A Lua Me Disse,2005–
1304,4 nominations.,4,0,0,0,0,0,0,0,0,8 Out of 10 Cats,2005–
1305,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,A Picture of Britain,2005
1316,1 win.,0,1,0,0,0,0,0,0,0,The Book of Daniel,2006
1324,7 wins & 9 nominations.,9,7,0,0,0,0,0,0,0,A Guide to Recognizing Your Saints,2006
1327,1 win.,0,1,0,0,0,0,0,0,0,One of Those Days,2005
1330,3 wins & 32 nominations.,32,3,0,0,0,0,0,0,0,Alma Gêmea,2005–
1332,1 win.,0,1,0,0,0,0,0,0,0,Internal Turmoil of the Plastic Kind,2005
1337,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,War,2005
1339,4 wins & 6 nominations.,6,4,0,0,0,0,0,0,0,Above and Beyond,2006
1342,2 wins.,0,2,0,0,0,0,0,0,0,The 8th Plague,2006
1351,4 nominations.,4,0,0,0,0,0,0,0,0,The Pretender,2005–
1354,1 win.,0,1,0,0,0,0,0,0,0,Letting Go,2005
1356,2 wins.,0,2,0,0,0,0,0,0,0,Life After Tomorrow,2006
1358,2 nominations.,2,0,0,0,0,0,0,0,0,Alice; I Think,2006–
1360,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,Don't Worry; I'm Fine,2006
1364,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,2005 World Figure Skating Championships,2005
1366,2 nominations.,2,0,0,0,0,0,0,0,0,Allein gegen die Angst,2006
1367,1 win.,0,1,0,0,0,0,0,0,0,The Birthday Boy,2005
1370,2 nominations.,2,0,0,0,0,0,0,0,0,O Crime do Padre Amaro,2005
1384,1 nomination.,1,0,0,0,0,0,0,0,0,Trapped in the Closet: Chapters 1-12,2005
1386,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,'Tis Autumn: The Search for Jackie Paris,2006
1398,Won 6 Golden Globes. Another 80 wins & 310 nominations.,310,80,0,0,6,0,0,0,0,30 Rock,2006–2013
1407,18 wins & 7 nominations.,7,8,0,0,0,0,0,0,0,Takva: A Man's Fear of God,2006
1409,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,10 Items or Less,2006
1413,Nominated for 3 Golden Globes. Another 3 wins & 23 nominations.,23,3,0,3,0,0,0,0,0,Tsunami: The Aftermath,2006
1415,1 nomination.,1,0,0,0,0,0,0,0,0,'Til Death,2006–2010
1424,1 win.,0,1,0,0,0,0,0,0,0,Out of the Shadows,2005
1425,3 wins.,0,3,0,0,0,0,0,0,0,Singapore Dreaming,2006
1428,5 wins & 25 nominations.,25,5,0,0,0,0,0,0,0,The Game,2006–2015
1455,3 wins.,0,3,0,0,0,0,0,0,0,Lights Out,2006
1458,1 nomination.,1,0,0,0,0,0,0,0,0,Alle lieben Jimmy,2006–
1465,1 nomination.,1,0,0,0,0,0,0,0,0,20 to 1,2005–
1473,1 nomination.,1,0,0,0,0,0,0,0,0,Blue Collar Comedy Tour: One for the Road,2006
1482,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,11 Cameras,2006–
1499,11 wins.,0,1,0,0,0,0,0,0,0,I Want to Be a Pilot,2006
1502,1 nomination.,1,0,0,0,0,0,0,0,0,The Replacements,2006–2009
1505,2 nominations.,2,0,0,0,0,0,0,0,0,2006 FIFA World Cup,2006
1514,1 nomination.,1,0,0,0,0,0,0,0,0,The Somme: From Defeat to Victory,2006
1518,4 wins & 1 nomination.,1,4,0,0,0,0,0,0,0,t Schaep met de 5 pooten,2006–
1519,2 wins.,0,2,0,0,0,0,0,0,0,Escape,2006
1548,1 nomination.,1,0,0,0,0,0,0,0,0,Fresh Meat 21: Built Like a Brick...,2006
1551,1 nomination.,1,0,0,0,0,0,0,0,0,Feeding Frenzy 8,2006
1559,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Ruido,2006
1575,3 nominations.,3,0,0,0,0,0,0,0,0,Freundschaft,2006
1576,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Ghosts,2006
1584,2 wins.,0,2,0,0,0,0,0,0,0,Death Note,2006–2007
1586,6 wins & 1 nomination.,1,6,0,0,0,0,0,0,0,Contact,2006
1591,1 win.,0,1,0,0,0,0,0,0,0,What Goes Around...,2006
1594,5 wins & 9 nominations.,9,5,0,0,0,0,0,0,0,13: Game of Death,2006
1595,5 wins & 7 nominations.,7,5,0,0,0,0,0,0,0,The Tokyo Trial,2006
1606,1 win.,0,1,0,0,0,0,0,0,0,A Touch Away,2006–
1609,4 wins & 5 nominations.,5,4,0,0,0,0,0,0,0,Aifric,2006–
1620,4 nominations.,4,0,0,0,0,0,0,0,0,Ali Rap,2006
1621,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,Angie,2006–
1623,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Agathe kann's nicht lassen,2005–
1646,1 win.,0,1,0,0,0,0,0,0,0,Quebec; Quebec,2006
1661,1 win.,0,1,0,0,0,0,0,0,0,Execution,2006
1672,4 wins.,0,4,0,0,0,0,0,0,0,Code Geass: Lelouch of the Rebellion,2006–2007
1706,1 nomination.,1,0,0,0,0,0,0,0,0,Ask a Ninja,2005–
1746,1 win.,0,1,0,0,0,0,0,0,0,Blood Bank,2005
1753,1 nomination.,1,0,0,0,0,0,0,0,0,All Star Family Fortunes,2006–
1804,2 nominations.,2,0,0,0,0,0,0,0,0,Al Límite,2006
1898,36 wins & 20 nominations.,20,6,0,0,0,0,0,0,0,101 East,2006–
1940,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Savage Grace,2007
1941,12 nominations.,2,0,0,0,0,0,0,0,0,30 Days of Night,2007
1943,1 win.,0,1,0,0,0,0,0,0,0,The Rules,2008
1944,3 nominations.,3,0,0,0,0,0,0,0,0,Run; Fatboy; Run,2007
1945,5 wins & 6 nominations.,6,5,0,0,0,0,0,0,0,Go with Peace Jamil,2008
1947,1 win & 5 nominations.,5,1,0,0,0,0,0,0,0,Death Race,2008
1948,1 win & 5 nominations.,5,1,0,0,0,0,0,0,0,The Tender Hook,2008
1949,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Theresa: The Body of Christ,2007
1952,4 wins & 1 nomination.,1,4,0,0,0,0,0,0,0,Things We Lost in the Fire,2007
1956,1 win.,0,1,0,0,0,0,0,0,0,Sex and Death 101,2007
1957,2 wins & 19 nominations.,19,2,0,0,0,0,0,0,0,The Chronicles of Narnia: Prince Caspian,2008
1958,4 nominations.,4,0,0,0,0,0,0,0,0,Aliens vs. Predator: Requiem,2007
1959,Nominated for 2 Oscars. Another 23 wins & 99 nominations.,99,23,0,0,0,2,0,0,0,Into the Wild,2007
1960,1 nomination.,1,0,0,0,0,0,0,0,0,Redline,2007
1961,3 wins & 6 nominations.,6,3,0,0,0,0,0,0,0,Across the River to Motor City,2007–
1965,1 win.,0,1,0,0,0,0,0,0,0,Blessed Is the Match: The Life and Death of Hannah Senesh,2008
1966,1 win.,0,1,0,0,0,0,0,0,0,The End,2007
1971,10 wins & 24 nominations.,24,0,0,0,0,0,0,0,0,Superbad,2007
1972,1 nomination.,1,0,0,0,0,0,0,0,0,2030 - Aufstand der Alten,2007–
1977,26 wins & 18 nominations.,18,6,0,0,0,0,0,0,0,Chak de! India,2007
1979,1 nomination.,1,0,0,0,0,0,0,0,0,Adventures in Hollyhood,2007–
1980,2 wins & 3 nominations.,3,2,0,0,0,0,0,0,0,La France,2007
1983,2 nominations.,2,0,0,0,0,0,0,0,0,A Life Interrupted,2007
1987,Nominated for 5 Oscars. Another 26 wins & 88 nominations.,88,26,0,0,0,5,0,0,0,Doubt,2008
1988,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Super Amigos,2007
1990,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,Accident,2007
1991,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Dance of the Dead,2008
1994,3 nominations.,3,0,0,0,0,0,0,0,0,Trapped,2008
2007,3 wins & 1 nomination.,1,3,0,0,0,0,0,0,0,Rock of Love with Bret Michaels,2007–
2008,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,ABC Colombia,2007
2010,1 nomination.,1,0,0,0,0,0,0,0,0,4Real,2007–2008
2011,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,4,2,0,0,0,1,0,0,0,Operation Homecoming: Writing the Wartime Experience,2007
2012,1 win.,0,1,0,0,0,0,0,0,0,Tell-Tale,2007
2025,5 nominations.,5,0,0,0,0,0,0,0,0,Aurora boreal,2007
2030,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,'Da Kink in My Hair,2007–
2031,1 nomination.,1,0,0,0,0,0,0,0,0,Tit for Tat,2007
2032,4 nominations.,4,0,0,0,0,0,0,0,0,Witless Protection,2008
2045,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,About a Girl,2007–
2047,1 nomination.,1,0,0,0,0,0,0,0,0,Addiction,2007
2050,3 wins & 1 nomination.,1,3,0,0,0,0,0,0,0,Alguien te mira,2007
2055,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,After the Catch,2007–
2079,2 wins.,0,2,0,0,0,0,0,0,0,Surprise!,2007
2081,1 nomination.,1,0,0,0,0,0,0,0,0,Röyhkeä diplomaatti,2007–
2082,1 win & 9 nominations.,9,1,0,0,0,0,0,0,0,Mixed Blessings,2007–
2085,2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,Haïti chérie,2007
