,Awards,Awards_Nominated,Awards_Won,BAFTA Film Award Awards_Nominated,Golden Globe Awards_Nominated,Golden Globe Awards_Won,Oscar Awards_Nominated,Oscar Awards_Won,Primetime Emmy Awards_Nominated,Primetime Emmy Awards_Won,Title,Year
11088,1 win & 6 nominations.,6,1,0,0,0,0,0,0,0,Clean Hands,2015
11099,1 nomination.,1,0,0,0,0,0,0,0,0,Anna,2015
11101,1 nomination.,1,0,0,0,0,0,0,0,0,Justice League: Throne of Atlantis,2015
11105,1 nomination.,1,0,0,0,0,0,0,0,0,The Boy,2016
11107,1 nomination.,1,0,0,0,0,0,0,0,0,Awakening: A Call to Arms,2015
11110,1 nomination.,1,0,0,0,0,0,0,0,0,The Ticket,2016
11114,1 win.,0,1,0,0,0,0,0,0,0,KILD TV,2016
11119,1 nomination.,1,0,0,0,0,0,0,0,0,I Am Chris Farley,2015
11122,7 nominations.,7,0,0,0,0,0,0,0,0,Barcelona Christmas Night,2015
11130,4 wins & 6 nominations.,6,4,0,0,0,0,0,0,0,Mother,2015
11132,2 nominations.,2,0,0,0,0,0,0,0,0,Teenage Mutant Ninja Turtles: Out of the Shadows,2016
11134,1 nomination.,1,0,0,0,0,0,0,0,0,Boy Meets Boy,2015
11141,1 nomination.,1,0,0,0,0,0,0,0,0,The Incident,2015
11145,1 nomination.,1,0,0,0,0,0,0,0,0,One and Two,2015
11147,1 win.,0,1,0,0,0,0,0,0,0,Fuller House,2016–
11149,1 nomination.,1,0,0,0,0,0,0,0,0,The 9th Life of Louis Drax,2016
11158,6 wins & 5 nominations.,5,6,0,0,0,0,0,0,0,Black,2015
11165,2 wins & 4 nominations.,4,2,0,0,0,0,0,0,0,Supergirl,2015–
11179,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,Cosmos,2015
11186,2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,Maze Runner: The Scorch Trials,2015
11203,Nominated for 3 Primetime Emmys. Another 12 nominations.,0,0,0,0,0,0,0,0,0,The Secret Life of Marilyn Monroe,2015
11215,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Game Face,2015
11216,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,Disorder,2015
11217,3 wins.,0,3,0,0,0,0,0,0,0,Frankenstein,2015
11219,3 nominations.,3,0,0,0,0,0,0,0,0,Chemo,2015
11222,Won 1 Golden Globe. Another 4 wins & 9 nominations.,9,4,0,0,1,0,0,0,0,Crazy Ex-Girlfriend,2015–
11230,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,London Spy,2015
11235,4 wins & 1 nomination.,1,4,0,0,0,0,0,0,0,Delusion,2016
11248,5 wins & 3 nominations.,3,5,0,0,0,0,0,0,0,The Morning After,2015
11250,2 nominations.,2,0,0,0,0,0,0,0,0,Between,2015–
